Categor’a nueva,,comentarios,wweia_food_category,count_vals,categ,description_text,fdc_ids
,,,5504,104,Cookies and brownies,"['Anisette toast', 'Cookie, batter or dough, raw', 'Cookie, NFS', 'Cookie, almond', 'Cookie, applesauce', 'Cookie, biscotti', 'Cookie, brownie, NS as to icing', 'Cookie, brownie, without icing', 'Cookie, brownie, with icing or filling', 'Cookie, brownie, reduced fat, NS as to icing', 'Cookie, butterscotch, brownie', 'Cookie, bar, with chocolate', 'Cookie, chocolate chip', 'Cookie, chocolate chip, made from home recipe or purchased at a bakery', 'Cookie, chocolate chip, reduced fat', 'Cookie, chocolate chip sandwich', 'Cookie, chocolate, made with rice cereal', 'Cookie, chocolate, made with oatmeal and coconut, no bake', 'Cookie, chocolate or fudge', 'Cookie, chocolate or fudge, reduced fat', 'Cookie, chocolate, with chocolate filling or coating, fat free', 'Cookie, marshmallow, chocolate-covered', 'Cookie, marshmallow pie, chocolate covered', 'Cookie, chocolate, with icing or coating', 'Cookie, sugar wafer, chocolate-covered', 'Cookie, chocolate sandwich', 'Cookie, chocolate sandwich, reduced fat', 'Cookie, chocolate, sandwich, with extra filling', 'Cookie, chocolate and vanilla sandwich', 'Cookie, chocolate wafer', 'Cookie, graham cracker with chocolate and marshmallow', 'Cookie bar, with chocolate, nuts, and graham crackers', 'Cookie, coconut', 'Cookie, fruit-filled bar', 'Cookie, fig bar', 'Cookie, fortune', 'Cookie, cone shell, ice cream type, wafer or cake', 'Cookie, gingersnaps', 'Cookie, granola', 'Cookie, ladyfinger', 'Cookie, lemon bar', 'Cookie, macaroon', 'Cookie, marshmallow, with coconut', 'Cookie, marshmallow, with rice cereal, no bake', 'Cookie, marshmallow, with rice cereal and chocolate chips', 'Cookie, marshmallow and peanut butter, with oat cereal, no bake', 'Cookie, meringue', 'Cookie, molasses', 'Cookie, Lebkuchen', 'Cookie, multigrain, high fiber', 'Cookie, oatmeal', 'Cookie, oatmeal, with raisins', 'Cookie, oatmeal, reduced fat, NS as to raisins', 'Cookie, oatmeal sandwich, with creme filling', 'Cookie, oatmeal, with chocolate chips', 'Cookie, oatmeal sandwich, with peanut butter and jelly filling', 'Cookie, oatmeal, with chocolate and peanut butter, no bake', 'Cookie, peanut butter', 'Cookie, peanut butter, with chocolate', 'Cookie, peanut butter with rice cereal, no bake', 'Cookie, peanut butter sandwich', 'Cookie, with peanut butter filling, chocolate-coated', 'Cookie, Pfeffernusse', 'Cookie, Pizzelle', 'Cookie, pumpkin', 'Cookie, raisin', 'Cookie, raisin sandwich, cream-filled', 'Cookie, rum ball, no bake', 'Cookie, sandwich-type, not chocolate or vanilla', 'Cookie, shortbread', 'Cookie, shortbread, reduced fat', 'Cookie, shortbread, with icing or filling', 'Pocky', 'Cookie, animal', 'Cookie, animal, with frosting or icing', 'Cookie, butter or sugar', 'Marie biscuit', 'Cookie, butter or sugar, with fruit and/or nuts', 'Cookie, sugar wafer', 'Cookie, toffee bar', 'Cookie, vanilla sandwich', 'Cookie, vanilla sandwich, extra filling', 'Cookie, vanilla sandwich, reduced fat', 'Cookie, butter or sugar, with chocolate icing or filling', 'Cookie, butter or sugar, with icing or filling other than chocolate', 'Cookie, tea, Japanese', 'Cookie, vanilla wafer', 'Cookie, vanilla wafer, reduced fat', 'Cookie, vanilla with caramel, coconut, and chocolate coating', 'Cookie, rugelach', 'Cookie, chocolate chip, sugar free', 'Cookie, oatmeal, sugar free', 'Cookie, sandwich, sugar free', 'Cookie, sugar or plain, sugar free', 'Cookie, sugar wafer, sugar free', 'Cookie, peanut butter, sugar free', 'Cookie, gluten free', 'Cookies, Puerto Rican style', 'Graham crackers', 'Graham crackers (Teddy Grahams)', 'Graham crackers, chocolate covered', 'Crackers, Cuban', 'Graham crackers, reduced fat', 'Graham crackers, sandwich, with filling']","[2343183, 2343378, 2343379, 2343380, 2343381, 2343382, 2343383, 2343384, 2343385, 2343386, 2343387, 2343388, 2343389, 2343390, 2343391, 2343392, 2343393, 2343394, 2343395, 2343396, 2343397, 2343398, 2343399, 2343400, 2343401, 2343402, 2343403, 2343404, 2343405, 2343406, 2343407, 2343408, 2343409, 2343410, 2343411, 2343412, 2343413, 2343414, 2343415, 2343416, 2343417, 2343418, 2343419, 2343420, 2343421, 2343422, 2343423, 2343424, 2343425, 2343426, 2343427, 2343428, 2343429, 2343430, 2343431, 2343432, 2343433, 2343434, 2343435, 2343436, 2343437, 2343438, 2343439, 2343440, 2343441, 2343442, 2343443, 2343444, 2343445, 2343446, 2343447, 2343448, 2343449, 2343450, 2343451, 2343452, 2343453, 2343454, 2343455, 2343456, 2343457, 2343458, 2343459, 2343460, 2343461, 2343462, 2343463, 2343464, 2343465, 2343466, 2343467, 2343468, 2343469, 2343470, 2343471, 2343472, 2343473, 2343474, 2343616, 2343617, 2343618, 2343620, 2343621, 2343622]"
,,,3006,99,Seafood mixed dishes,"['Fish with cream or white sauce, not tuna or lobster', 'Fish timbale or mousse', 'Tuna with cream or white sauce', 'Seafood thermidor', 'Shrimp with lobster sauce', 'Fish with tomato-based sauce', 'Fish curry', 'Fish curry with rice', 'Ceviche', 'Crabs in tomato-based sauce, Puerto Rican style', 'Shrimp in garlic sauce, Puerto Rican style', 'Bacalao guisado', 'Crab, cake', 'Fish, cake or patty', 'Gefilte fish', 'Fish, salmon cake or patty', 'Scallops and noodles with cheese sauce', 'Shrimp and noodles, no sauce', 'Shrimp and noodles with gravy', 'Shrimp and noodles with mushroom sauce', 'Shrimp and noodles with cream or white sauce', 'Shrimp and noodles with cheese sauce', 'Shrimp and noodles with tomato sauce', 'Tuna loaf', 'Tuna cake or patty', 'Clam cake or patty', 'Flounder with crab stuffing', 'Lobster with bread stuffing, baked', 'Clams Casino', 'Shrimp, cake or patty', 'Shrimp with crab stuffing', 'Shrimp toast', 'Seafood souffle', 'Tuna noodle casserole with cream or white sauce', 'Tuna noodle casserole with mushroom sauce', 'Tuna and rice with mushroom sauce', 'Fish and rice with tomato-based sauce', 'Fish and rice with cream sauce', 'Fish and rice with mushroom sauce', 'Fish and noodles with mushroom sauce', 'Shellfish and noodles with tomato-based sauce', 'Stewed salmon, Puerto Rican style', 'Shrimp creole, with rice', 'Tuna noodle casserole with vegetables, cream or white sauce', 'Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce', 'Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce', 'Bouillabaisse', 'Seafood stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce', 'Tuna noodle casserole with vegetables and mushroom sauce', 'Codfish with starchy vegetables, Puerto Rican style', 'Biscayne codfish, Puerto Rican style', 'Gumbo with rice', 'Crab salad', 'Lobster salad', 'Salmon salad', 'Tuna salad, made with mayonnaise', 'Tuna salad, made with light mayonnaise', 'Tuna salad, made with mayonnaise-type salad dressing', 'Tuna salad, made with light mayonnaise-type salad dressing', 'Tuna salad, made with creamy dressing', 'Tuna salad, made with light creamy dressing', 'Tuna salad, made with Italian dressing', 'Tuna salad, made with light Italian dressing', 'Tuna salad, made with any type of fat free dressing', 'Shrimp salad', 'Seafood salad', 'Tuna salad with cheese', 'Tuna salad with egg', 'Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing', 'Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing', 'Crab salad made with imitation crab', 'Fish, tofu, and vegetables, tempura', 'Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing', 'Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing', 'Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing', 'Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing', 'Oysters Rockefeller', 'Lomi salmon', 'Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce', 'Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce', 'Shrimp shish kabob with vegetables, excluding potatoes', 'Shrimp creole, no rice', 'Tuna casserole with vegetables and mushroom sauce, no noodles', 'Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce', 'Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce', 'Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce', 'Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce', 'Fish shish kabob with vegetables, excluding potatoes', 'Fried fish with sauce, Puerto Rican style', 'Lobster with sauce, Puerto Rican style', 'Octopus salad, Puerto Rican style', 'Codfish salad, Puerto Rican style, Serenata', 'Lau lau', 'Gumbo, no rice', 'Fish in lemon-butter sauce with starch item, vegetable, frozen meal', 'Shrimp and vegetables in sauce with noodles, diet frozen meal', 'Lobster gumbo', 'Shrimp gumbo', 'Bacalaitos fritos']","[2341871, 2341872, 2341874, 2341875, 2341879, 2341883, 2341884, 2341885, 2341887, 2341888, 2341889, 2341890, 2341978, 2341979, 2341980, 2341981, 2341982, 2341983, 2341984, 2341985, 2341986, 2341988, 2341989, 2341990, 2341991, 2341992, 2341993, 2341994, 2341995, 2341996, 2341997, 2341998, 2342000, 2342001, 2342002, 2342003, 2342004, 2342005, 2342006, 2342007, 2342008, 2342009, 2342147, 2342148, 2342149, 2342150, 2342151, 2342152, 2342153, 2342154, 2342155, 2342162, 2342268, 2342269, 2342270, 2342272, 2342273, 2342274, 2342275, 2342276, 2342277, 2342278, 2342279, 2342280, 2342281, 2342282, 2342283, 2342284, 2342285, 2342286, 2342287, 2342288, 2342289, 2342290, 2342291, 2342292, 2342293, 2342294, 2342295, 2342296, 2342299, 2342300, 2342302, 2342305, 2342306, 2342307, 2342308, 2342311, 2342312, 2342313, 2342314, 2342315, 2342317, 2342324, 2342564, 2342565, 2342610, 2342613, 2344201]"
,,,3602,91,Pizza,"['Topping from cheese pizza', 'Topping from vegetable pizza', 'Topping from meat pizza', 'Topping from meat and vegetable pizza', 'Pizza, cheese, from frozen, thin crust', 'Pizza, cheese, from frozen, thick crust', 'Pizza, cheese, from restaurant or fast food, NS as to type of crust', 'Pizza, cheese, from restaurant or fast food, thin crust', 'Pizza, cheese, from restaurant or fast food, medium crust', 'Pizza, cheese, from restaurant or fast food, thick crust', 'Pizza, cheese, stuffed crust', 'Pizza, cheese, from school lunch, medium crust', 'Pizza, cheese, from school lunch, thin crust', 'Pizza, cheese, from school lunch, thick crust', 'Pizza, extra cheese, thin crust', 'Pizza, extra cheese, thick crust', 'Pizza, cheese, with vegetables, from frozen, thin crust', 'Pizza, cheese with vegetables, from frozen, thick crust', 'Pizza, cheese, with vegetables, from restaurant or fast food, thin crust', 'Pizza, cheese, with vegetables, from restaurant or fast food, medium crust', 'Pizza, cheese, with vegetables, from restaurant or fast food, thick crust', 'Pizza with cheese and extra vegetables, thin crust', 'Pizza with cheese and extra vegetables, medium crust', 'Pizza with cheese and extra vegetables, thick crust', 'Pizza, cheese, with fruit, thin crust', 'Pizza, cheese, with fruit, medium crust', 'Pizza, cheese, with fruit, thick crust', 'Pizza with pepperoni, from frozen, thin crust', 'Pizza with pepperoni, from frozen, medium crust', 'Pizza with pepperoni, from frozen, thick crust', 'Pizza with pepperoni, from restaurant or fast food, NS as to type of crust', 'Pizza with pepperoni, from restaurant or fast food, thin crust', 'Pizza with pepperoni, from restaurant or fast food,  medium crust', 'Pizza with pepperoni, from restaurant or fast food, thick crust', 'Pizza with pepperoni, stuffed crust', 'Pizza with pepperoni, from school lunch, thin crust', 'Pizza, with pepperoni, from school lunch, medium crust', 'Pizza with pepperoni, from school lunch, thick crust', 'Pizza with meat other than pepperoni, from frozen, thin crust', 'Pizza with meat other than pepperoni, from frozen, medium crust', 'Pizza with meat other than pepperoni, from frozen, thick crust', 'Pizza with meat other than pepperoni, from restaurant or fast food, NS as to type of crust', 'Pizza with meat other than pepperoni, from restaurant or fast food, thin crust', 'Pizza with meat other than pepperoni, from restaurant or fast food, medium crust', 'Pizza with meat other than pepperoni, from restaurant or fast food, thick crust', 'Pizza, with meat other than pepperoni, stuffed crust', 'Pizza, with meat other than pepperoni, from school lunch, medium crust', 'Pizza, with meat other than pepperoni, from school lunch, thin crust', 'Pizza, with meat other than pepperoni, from school lunch, thick crust', 'Pizza with extra meat, thin crust', 'Pizza with extra meat, medium crust', 'Pizza with extra meat, thick crust', 'Pizza with meat and vegetables, from frozen, thin crust', 'Pizza with meat and vegetables, from frozen, medium crust', 'Pizza with meat and vegetables, from frozen, thick crust', 'Pizza with meat and vegetables, from restaurant or fast food, thin crust', 'Pizza with meat and vegetables, from restaurant or fast food, medium crust', 'Pizza with meat and vegetables, from restaurant or fast food, thick crust', 'Pizza with extra meat and extra vegetables, thin crust', 'Pizza with extra meat and extra vegetables, thick crust', 'Pizza with extra meat and extra vegetables, medium crust', 'Pizza with meat and fruit, thin crust', 'Pizza with meat and fruit, medium crust', 'Pizza with meat and fruit, thick crust', 'Pizza with beans and vegetables, thin crust', 'Pizza with beans and vegetables, thick crust', 'Pizza, no cheese, thin crust', 'Pizza, no cheese, thick crust', 'White pizza, cheese, thin crust', 'White pizza, cheese, thick crust', 'White pizza, cheese, with vegetables, thin crust', 'White pizza, cheese, with vegetables, thick crust', 'White pizza, cheese, with meat, thin crust', 'White pizza, cheese, with meat, thick crust', 'White pizza, cheese, with meat and vegetables, thin crust', 'White pizza, cheese, with meat and vegetables, thick crust', 'Calzone, with cheese, meatless', 'Calzone, with meat and cheese', 'Pizza rolls', 'Pizza, cheese, whole wheat thin crust', 'Pizza, cheese, whole wheat thick crust', 'Pizza, with meat, whole wheat thin crust', 'Pizza, with meat, whole wheat thick crust', 'Pizza, cheese and vegetables, whole wheat thin crust', 'Pizza, cheese and vegetables, whole wheat thick crust', 'Pizza, cheese, gluten-free thin crust', 'Pizza, cheese, gluten-free thick crust', 'Pizza, with meat, gluten-free thin crust', 'Pizza, with meat, gluten-free thick crust', 'Pizza, cheese and vegetables, gluten-free thin crust', 'Pizza, cheese and vegetables, gluten-free thick crust']","[2341191, 2341192, 2341193, 2341194, 2344096, 2344097, 2344098, 2344099, 2344100, 2344101, 2344102, 2344103, 2344104, 2344105, 2344106, 2344107, 2344108, 2344109, 2344110, 2344111, 2344112, 2344113, 2344114, 2344115, 2344116, 2344117, 2344118, 2344119, 2344120, 2344121, 2344122, 2344123, 2344124, 2344125, 2344126, 2344127, 2344128, 2344129, 2344130, 2344131, 2344132, 2344133, 2344134, 2344135, 2344136, 2344137, 2344138, 2344139, 2344140, 2344141, 2344142, 2344143, 2344144, 2344145, 2344146, 2344147, 2344148, 2344149, 2344150, 2344151, 2344152, 2344153, 2344154, 2344155, 2344156, 2344157, 2344158, 2344159, 2344160, 2344161, 2344162, 2344163, 2344164, 2344165, 2344166, 2344167, 2344168, 2344169, 2344170, 2344171, 2344172, 2344173, 2344174, 2344175, 2344176, 2344177, 2344178, 2344179, 2344180, 2344181, 2344182]"
,,,5502,90,Cakes and pies,"['Tiramisu', 'Cake or cupcake, NFS', 'Cake, angel food', 'Cake or cupcake, apple', 'Cake or cupcake, banana', 'Cake or cupcake, Black Forest', 'Cake, Boston cream pie', 'Cake or cupcake, carrot', 'Cake or cupcake, coconut', 'Cheesecake, plain', 'Cheesecake, fruit', 'Cheesecake, chocolate', 'Cake or cupcake, chocolate with white icing, bakery', 'Cake or cupcake, chocolate with white icing, from mix', 'Cake or cupcake, chocolate with chocolate icing, bakery', 'Cake or cupcake, chocolate with chocolate icing, from mix', 'Cake or cupcake, chocolate, no icing', 'Cake or cupcake, German chocolate', 'Cake or cupcake, gluten free', 'Cake, chocolate, flourless', 'Cake, cream', 'Snack cake, chocolate', 'Snack cake, white', 'Cake, fruit cake', 'Cake or cupcake, gingerbread', 'Ice cream cake', 'Cake, jelly roll', 'Cake or cupcake, lemon', 'Cake or cupcake, marble', 'Cake or cupcake, peanut butter', 'Cake, pound', 'Cake or cupcake, pumpkin', 'Cake or cupcake, red velvet', 'Cake or cupcake, spice', 'Cake, sponge', 'Cake or cupcake, strawberry', 'Cake, torte', 'Cake, tres leche', 'Cake, pineapple, upside down', 'Cake or cupcake, white with white icing, bakery', 'Cake or cupcake, white with white icing, from mix', 'Cake or cupcake, white with chocolate icing, bakery', 'Cake or cupcake, white with chocolate icing, from mix', 'Cake or cupcake, white, no icing', 'Cake, strawberry shortcake', 'Cake or cupcake, zucchini', 'Pie, NFS', 'Tart, all types', 'Pie, apple', 'Pie, apple, fast food', 'Pie, berry', 'Pie, blueberry', 'Pie, cherry', 'Pie, lemon', 'Pie, key lime', 'Pie, peach', 'Pie, strawberry', 'Pie, banana cream', 'Pie, chocolate cream', 'Pie, coconut cream', 'Pie, custard', 'Dessert pizza', 'Pie, peanut butter cream', 'Pie, pineapple cream', 'Pie, pumpkin', 'Pie, sweet potato', 'Pie, vanilla cream', 'Pie, lemon meringue', 'Pie, pecan', 'Pie, oatmeal', 'Pie shell', 'Pie shell, graham cracker', 'Pie shell, chocolate', 'Cobbler, apple', 'Cobbler, berry', 'Cobbler, cherry', 'Cobbler, peach', 'Crisp, apple', 'Crisp, berry', 'Crisp, cherry', 'Crisp, peach', 'Strudel, apple', 'Strudel, berry', 'Strudel, cherry', 'Strudel, cheese', 'Strudel, peach', 'Baklava', 'Basbousa', 'Turnover, fruit', 'Empanada, fruit']","[2341105, 2343333, 2343334, 2343335, 2343336, 2343337, 2343338, 2343339, 2343340, 2343341, 2343342, 2343343, 2343344, 2343345, 2343346, 2343347, 2343348, 2343349, 2343350, 2343351, 2343352, 2343353, 2343354, 2343355, 2343356, 2343357, 2343358, 2343359, 2343360, 2343361, 2343362, 2343363, 2343364, 2343365, 2343366, 2343367, 2343368, 2343369, 2343370, 2343371, 2343372, 2343373, 2343374, 2343375, 2343376, 2343377, 2343475, 2343476, 2343477, 2343478, 2343479, 2343480, 2343481, 2343482, 2343483, 2343484, 2343485, 2343486, 2343487, 2343488, 2343489, 2343490, 2343491, 2343492, 2343493, 2343494, 2343495, 2343496, 2343497, 2343498, 2343499, 2343500, 2343501, 2343502, 2343503, 2343504, 2343505, 2343506, 2343509, 2343510, 2343511, 2343522, 2343523, 2343524, 2343525, 2343526, 2343527, 2343528, 2343529, 2343540]"
,,,2606,5,Frankfurters,"['Hot dog, NFS', 'Hot dog, beef', 'Hot dog, meat and poultry', 'Hot dog, reduced fat', 'Hot dog, turkey']","[2341575, 2341576, 2341577, 2341578, 2341579]"
,,,2608,27,Sausages,"['Beef sausage', 'Beef sausage, reduced fat', 'Beef sausage, reduced sodium', 'Beef sausage with cheese', 'Blood sausage', 'Bratwurst', 'Bratwurst, with cheese', 'Turkey or chicken and beef sausage', 'Chorizo', 'Knockwurst', 'Polish sausage', 'Italian sausage', 'Sausage, NFS', 'Pork sausage', 'Pork sausage, reduced fat', 'Pork sausage, reduced sodium', 'Pork sausage rice links', 'Pork and beef sausage', 'Scrapple, cooked', 'Thuringer', 'Turkey or chicken sausage', 'Turkey or chicken sausage, reduced sodium', 'Turkey or chicken sausage, reduced fat', 'Turkey or chicken and pork sausage', 'Turkey or chicken, pork, and beef sausage, reduced sodium', 'Vienna sausage, canned', 'Pickled sausage']","[2341580, 2341581, 2341582, 2341583, 2341584, 2341585, 2341586, 2341590, 2341591, 2341593, 2341600, 2341601, 2341602, 2341603, 2341604, 2341605, 2341606, 2341607, 2341611, 2341612, 2341613, 2341614, 2341615, 2341616, 2341617, 2341618, 2341619]"
,,,2806,20,Processed soy products,"['Soybean curd', 'Soybean curd cheese', 'Yogurt, soy', 'Soybean curd, deep fried', 'Soybean curd, breaded, fried', 'Vermicelli, made from soybeans', 'Textured vegetable protein, dry', 'Frozen dessert, non-dairy', 'Bacon strip, meatless', 'Breakfast link, pattie, or slice, meatless', 'Chicken, meatless, NFS', 'Chicken, meatless, breaded, fried', 'Hot dog, vegetarian', 'Luncheon slice, meatless-beef, chicken, salami or turkey', 'Meatball, meatless', 'Veggie burger patty, no bun', 'Sandwich spread, meat substitute type', 'Vegetarian, fillet', 'Soy nut butter', 'Meat substitute, cereal- and vegetable protein-based, fried']","[2342910, 2342912, 2342919, 2342923, 2342924, 2342925, 2342926, 2342927, 2342940, 2342942, 2342943, 2342944, 2342945, 2342946, 2342947, 2342948, 2342950, 2342955, 2343022, 2344657]"
,,,3102,24,"Bean, pea, legume dishes","['Black bean salad', 'Falafel', 'Bean cake', 'Chili with beans, without meat', 'Lentil curry', 'Lentil curry with rice', 'Swiss steak, with gravy, meatless', 'Pot pie, no meat', 'Vegetarian chili, made with meat substitute', 'Vegetarian stroganoff', 'Beans and rice, from fast food / restaurant', 'Kidney beans and rice, from fast food / restaurant', 'Black beans and rice, from fast food / restaurant', 'Pinto beans and rice, from fast food / restaurant', 'Beans and white rice', 'Beans and rice, with tomatoes', 'Beans and rice, with meat', 'Kidney beans and white rice', 'Black beans and white rice', 'Pinto beans and white rice', 'Beans and brown rice', 'Kidney beans and brown rice', 'Black beans and brown rice', 'Pinto beans and brown rice']","[2342870, 2342883, 2342884, 2342886, 2342906, 2342907, 2342949, 2342951, 2342952, 2342957, 2344474, 2344475, 2344476, 2344477, 2344478, 2344479, 2344480, 2344481, 2344482, 2344483, 2344521, 2344522, 2344523, 2344524]"
,,,3104,34,Vegetable dishes,"['Sambar, vegetable stew', 'Vegetarian stew', 'Stuffed pepper, with meat', 'Stuffed pepper, with rice and meat', 'Stuffed pepper, with rice, meatless', 'Stuffed tomato, with rice and meat', 'Stuffed tomato, with rice, meatless', 'Spinach souffle', 'Spinach and cheese casserole', 'Palak Paneer', 'Channa Saag', 'Broccoli casserole with noodles', 'Broccoli casserole with rice', 'Squash, winter, souffle', 'Tomatoes, scalloped', 'Lettuce, wilted, with bacon dressing', 'Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon', 'Greek Salad, no dressing', 'Spinach salad, no dressing', 'Cobb salad, no dressing', 'Ratatouille', 'Artichokes, stuffed', 'Green bean casserole', 'Corn, scalloped or pudding', 'Eggplant parmesan casserole, regular', 'Eggplant with cheese and tomato sauce', 'Mushrooms, stuffed', 'Squash, summer, casserole with tomato and cheese', 'Squash, summer, casserole, with rice and tomato sauce', 'Squash, summer, casserole, with cheese sauce', 'Squash, summer, souffle', 'Vegetable stew without meat', 'Vegetable curry', 'Vegetable curry with rice']","[2342905, 2342956, 2344560, 2344561, 2344562, 2344563, 2344564, 2345135, 2345136, 2345137, 2345138, 2345162, 2345163, 2345209, 2345236, 2345348, 2345349, 2345350, 2345351, 2345352, 2345555, 2345566, 2345567, 2345573, 2345577, 2345578, 2345579, 2345586, 2345587, 2345588, 2345589, 2345590, 2345594, 2345595]"
,,,3206,16,Macaroni and cheese,"['Macaroni or noodles with cheese', 'Macaroni or noodles with cheese, from restaurant', 'Macaroni or noodles with cheese, made from packaged mix', 'Macaroni or noodles with cheese, canned', 'Macaroni or noodles with cheese, Easy Mac type', 'Macaroni or noodles with cheese, made from reduced fat packaged mix', 'Macaroni or noodles with cheese and tuna', 'Macaroni or noodles with cheese and meat', 'Macaroni or noodles with cheese and meat, prepared from Hamburger Helper mix', 'Macaroni or noodles with cheese and tomato', 'Macaroni or noodles with cheese and frankfurters or hot dogs', 'Macaroni or noodles with cheese and egg', 'Macaroni or noodles with cheese and chicken or turkey', 'Macaroni or noodles with cheese, whole grain', 'Macaroni or noodles, creamed, with cheese', 'Macaroni or noodles, creamed, with cheese and tuna']","[2344296, 2344297, 2344298, 2344299, 2344300, 2344301, 2344302, 2344303, 2344304, 2344305, 2344306, 2344307, 2344308, 2344309, 2344413, 2344414]"
,,,3208,36,Turnovers and other grain-based items,"['Bread stuffing', 'Bread stuffing made with egg', 'Cornbread stuffing', 'Empanada, NFS', 'Empanada, no meat', 'Empanada, beef', 'Empanada, beef, with vegetables', 'Empanada, chicken', 'Empanada, chicken, with vegetables', 'Crepe, with meat', 'Pierogi', 'Knish', 'Pastry, egg and cheese filled', 'Pastry, meat / poultry-filled', 'Spanakopita', 'Samosa', 'Quiche with meat, poultry or fish', 'Spinach quiche, meatless', 'Cheese quiche, meatless', 'Turnover or hot pocket, NFS', 'Turnover or hot pocket, meatless', 'Turnover or hot pocket, beef', 'Turnover or hot pocket, ham', 'Turnover or hot pocket, pizza pocket, meat', 'Turnover or hot pocket, pizza pocket', 'Turnover or hot pocket, chicken', 'Turnover, seafood', 'Turnover or lean pocket', 'Turnover or breakfast pocket, egg', 'Cornmeal dressing with chicken or turkey and vegetables', 'Dressing with oysters', 'Dressing with chicken or turkey and vegetables', 'Dressing with meat and vegetables', 'Vada', 'Tabbouleh', 'Stuffed jalapeno pepper']","[2343167, 2343168, 2343292, 2344193, 2344194, 2344195, 2344196, 2344197, 2344198, 2344203, 2344204, 2344207, 2344211, 2344212, 2344213, 2344214, 2344215, 2344216, 2344217, 2344218, 2344219, 2344220, 2344221, 2344222, 2344223, 2344224, 2344225, 2344226, 2344227, 2344230, 2344231, 2344232, 2344233, 2344618, 2344619, 2345572]"
,,,3402,44,Fried rice and lo/chow mein,"['Beef chow mein or chop suey with noodles', 'Pork chow mein or chop suey with noodles', 'Chicken or turkey chow mein or chop suey with noodles', 'Shrimp chow mein or chop suey with noodles', 'Chow mein or chop suey, NS as to type of meat, with noodles', 'Chow mein or chop suey, various types of meat, with noodles', 'Beef chow mein or chop suey, no noodles', 'Pork chow mein or chop suey, no noodles', 'Chicken or turkey chow mein or chop suey, no noodles', 'Shrimp chow mein or chop suey, no noodles', 'Chow mein or chop suey, NS as to type of meat, no noodles', 'Chow fun noodles with meat and vegetables', 'Chow fun noodles with vegetables, meatless', 'Lo mein, NFS', 'Lo mein, meatless', 'Lo mein, with shrimp', 'Lo mein, with pork', 'Lo mein, with beef', 'Lo mein, with chicken', 'Pad Thai, NFS', 'Pad Thai, meatless', 'Pad Thai with chicken', 'Pad Thai with seafood', 'Pad Thai with meat', 'Yat Ga Mein with meat, fish, or poultry', 'Rice, fried, meatless', 'Rice, fried, NFS', 'Rice, fried, with chicken', 'Rice, fried, with pork', 'Rice, fried, with beef', 'Rice, fried, with shrimp', 'Rice, white, with soy-based sauce, NS as to fat', 'Rice, white, with soy-based sauce, no added fat', 'Rice, white, with soy-based sauce, fat added', 'Rice, brown, with soy-based sauce, NS as to fat', 'Rice, brown, with soy-based sauce, no added fat', 'Rice, brown, with soy-based sauce, fat added', 'Rice, white, with vegetables, soy-based sauce, NS as to fat', 'Rice, white, with vegetables, soy-based sauce, no added fat', 'Rice, white, with vegetables, soy-based sauce, fat added', 'Rice, brown, with vegetables, soy-based sauce, NS as to fat', 'Rice, brown, with vegetables, soy-based sauce, no added fat', 'Rice, brown, with vegetables, soy-based sauce, fat added', 'Chow mein or chop suey, meatless, with noodles']","[2342039, 2342080, 2342121, 2342146, 2342157, 2342159, 2342178, 2342210, 2342242, 2342271, 2342316, 2344280, 2344281, 2344282, 2344283, 2344284, 2344285, 2344286, 2344287, 2344288, 2344289, 2344290, 2344291, 2344292, 2344416, 2344436, 2344437, 2344438, 2344439, 2344440, 2344441, 2344586, 2344587, 2344588, 2344595, 2344596, 2344597, 2344604, 2344605, 2344606, 2344613, 2344614, 2344615, 2345596]"
